title,pleiades_uri,talbert_uri
Rome's World: Vicētia,https://pleiades.stoa.org/places/393513,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1040.html
Rome's World: Levceris,https://pleiades.stoa.org/places/383693,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1041.html
Rome's World: Brixia,https://pleiades.stoa.org/places/383603,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1042.html
Rome's World: Ariolica,https://pleiades.stoa.org/places/383576,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1044.html
Rome's World: Lvria,https://pleiades.stoa.org/places/187357,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1019.html
Rome's World: Hostilia,https://pleiades.stoa.org/places/393438,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1047.html
Rome's World: Mediolanvm,https://pleiades.stoa.org/places/383706,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1048.html
Rome's World: Lavde pompeia,https://pleiades.stoa.org/places/383691,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1049.html
Rome's World: Nvmitvriana,https://pleiades.stoa.org/places/305122,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace105.html
Rome's World: Acerras,https://pleiades.stoa.org/places/383542,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1050.html
Rome's World: Placentia,https://pleiades.stoa.org/places/383741,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1051.html
Rome's World: Cremona,https://pleiades.stoa.org/places/383628,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1052.html
Rome's World: Mantva,https://pleiades.stoa.org/places/383704,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1054.html
Rome's World: Vergellis,https://pleiades.stoa.org/places/383815,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1055.html
Rome's World: Cvtias,https://pleiades.stoa.org/places/383630,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1056.html
Rome's World: Lavmellvm,https://pleiades.stoa.org/places/383690,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1057.html
Rome's World: Ticeno,https://pleiades.stoa.org/places/383798,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1058.html
Rome's World: Lambrvm,https://pleiades.stoa.org/places/383685,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1059.html
Rome's World: Aqvartille,https://pleiades.stoa.org/places/311079,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace106.html
Rome's World: Qvadrata,https://pleiades.stoa.org/places/387333,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1060.html
Rome's World: Adpadvm,https://pleiades.stoa.org/places/383552,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1061.html
Rome's World: Florentia,https://pleiades.stoa.org/places/383649,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1062.html
Rome's World: Fidentia,https://pleiades.stoa.org/places/383648,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1063.html
Rome's World: Parna,https://pleiades.stoa.org/places/383737,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1064.html
Rome's World: Tannetvm,https://pleiades.stoa.org/places/383791,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1065.html
Rome's World: Lepidoregio,https://pleiades.stoa.org/places/383755,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1066.html
Rome's World: Mvtina,https://pleiades.stoa.org/places/383715,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1067.html
Rome's World: Foro Gallorvm,https://pleiades.stoa.org/places/393425,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1068.html
Rome's World: Bononia,https://pleiades.stoa.org/places/393421,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1069.html
Rome's World: Iria,https://pleiades.stoa.org/places/383680,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1070.html
Rome's World: comeli magvs,https://pleiades.stoa.org/places/383626,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1071.html
Rome's World: Ricina,https://pleiades.stoa.org/places/383758,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1073.html
Rome's World: Adsolaria,https://pleiades.stoa.org/places/383555,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1074.html
Rome's World: Ad monilia,https://pleiades.stoa.org/places/383550,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1075.html
Rome's World: In Alpe pennino,https://pleiades.stoa.org/places/383675,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1076.html
Rome's World: Boron,https://pleiades.stoa.org/places/403188,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1077.html
Rome's World: Lvne,https://pleiades.stoa.org/places/403235,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1078.html
Rome's World: Foro Clodi,https://pleiades.stoa.org/places/383650,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1079.html
Rome's World: Castellvm Fabatianvm,https://pleiades.stoa.org/places/305048,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace108.html
Rome's World: Lvca,https://pleiades.stoa.org/places/403234,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1080.html
Rome's World: Admartis,https://pleiades.stoa.org/places/409213,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1081.html
Rome's World: Pistoris,https://pleiades.stoa.org/places/403254,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1082.html
Rome's World: Hellana,https://pleiades.stoa.org/places/403218,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1084.html
Rome's World: Ad solaria,https://pleiades.stoa.org/places/403173,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1085.html
Rome's World: Florentia Tvscorvm,https://pleiades.stoa.org/places/413138,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1086.html
Rome's World: Adtaberna Frigida,https://pleiades.stoa.org/places/403279,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1087.html
Rome's World: Fossis papirianis,https://pleiades.stoa.org/places/403208,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1088.html
Rome's World: Pisis,https://pleiades.stoa.org/places/403253,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1089.html
Rome's World: Thibili,https://pleiades.stoa.org/places/305165,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace109.html
Rome's World: Valvata,https://pleiades.stoa.org/places/403289,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1090.html
Rome's World: Inportv,https://pleiades.stoa.org/places/409227,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1091.html
Rome's World: Arnvm Fl.,https://pleiades.stoa.org/places/403181,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1092.html
Rome's World: Ad Aqvileia,https://pleiades.stoa.org/places/416763,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1093.html
Rome's World: Bitvriza,https://pleiades.stoa.org/places/416780,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1094.html
Rome's World: Vmbro Fl. (1),https://pleiades.stoa.org/places/413362,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1095.html
Rome's World: Adretio,https://pleiades.stoa.org/places/413032,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1096.html
Rome's World: Adioglandem,https://pleiades.stoa.org/places/416765,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1097.html
Rome's World: Adnovas,https://pleiades.stoa.org/places/416770,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1098.html
Rome's World: Adgrecos,https://pleiades.stoa.org/places/416764,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1099.html
Rome's World: Rvsazv Mvnicipivm,https://pleiades.stoa.org/places/305138,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace11.html
Rome's World: Capraria,https://pleiades.stoa.org/places/311086,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace110.html
Rome's World: Clvsio,https://pleiades.stoa.org/places/413096,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1100.html
Rome's World: Tvirtta,https://pleiades.stoa.org/places/409240,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1101.html
Rome's World: Piscinas,https://pleiades.stoa.org/places/409234,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1102.html
Rome's World: Adfines,https://pleiades.stoa.org/places/403172,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1103.html
Rome's World: Velinis,https://pleiades.stoa.org/places/403187,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1104.html
Rome's World: Vadis Volateris,https://pleiades.stoa.org/places/403288,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1105.html
Rome's World: Aqvas volaternas,https://pleiades.stoa.org/places/557118966,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1106.html
Rome's World: Popvlonio,https://pleiades.stoa.org/places/403212,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1107.html
Rome's World: Maniliana,https://pleiades.stoa.org/places/409231,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1108.html
Rome's World: Aqv(a)e Popvlani(a)e,https://pleiades.stoa.org/places/409214,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1109.html
Rome's World: Adsextvm,https://pleiades.stoa.org/places/416771,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1110.html
Rome's World: Sena Ivlia,https://pleiades.stoa.org/places/413293,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1111.html
Rome's World: Vmbro Fl. (1),https://pleiades.stoa.org/places/413362,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1095.html
Rome's World: Ad Mensvlas,https://pleiades.stoa.org/places/416768,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1113.html
Rome's World: Manliana,https://pleiades.stoa.org/places/413189,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1114.html
Rome's World: Saleborna,https://pleiades.stoa.org/places/403269,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1115.html
Rome's World: vmbro Fl.,https://pleiades.stoa.org/places/403285,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1116.html
Rome's World: Hasta,https://pleiades.stoa.org/places/409224,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1117.html
Rome's World: Telamone,https://pleiades.stoa.org/places/403280,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1118.html
Rome's World: Albinia Fl.,https://pleiades.stoa.org/places/413006,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1119.html
Rome's World: Tipasa,https://pleiades.stoa.org/places/305169,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace112.html
Rome's World: Cosa,https://pleiades.stoa.org/places/413107,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1120.html
Rome's World: Svccosa,https://pleiades.stoa.org/places/413325,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1121.html
Rome's World: Port̄ Hercvl(is),https://pleiades.stoa.org/places/403260,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1122.html
