title,pleiades_uri,,tp_online_uri
TP-Online: Hostilia,https://pleiades.stoa.org/places/393438,,https://tp-online.ku.de/trefferanzeige_en.php?id=53
TP-Online: Mediolanvm (Mediolanum),https://pleiades.stoa.org/places/383706,,https://tp-online.ku.de/trefferanzeige_en.php?id=54
TP-Online: Laude pompeia,https://pleiades.stoa.org/places/383691,,https://tp-online.ku.de/trefferanzeige_en.php?id=55
TP-Online: Numituriana,https://pleiades.stoa.org/places/305122,,https://tp-online.ku.de/trefferanzeige_en.php?id=56
TP-Online: Acerras,https://pleiades.stoa.org/places/383542,,https://tp-online.ku.de/trefferanzeige_en.php?id=57
TP-Online: Placentia,https://pleiades.stoa.org/places/383741,,https://tp-online.ku.de/trefferanzeige_en.php?id=58
TP-Online: Cremona,https://pleiades.stoa.org/places/383628,,https://tp-online.ku.de/trefferanzeige_en.php?id=59
TP-Online: Mantva (Mantua),https://pleiades.stoa.org/places/383704,,https://tp-online.ku.de/trefferanzeige_en.php?id=61
TP-Online: Vergellis,https://pleiades.stoa.org/places/383815,,https://tp-online.ku.de/trefferanzeige_en.php?id=62
TP-Online: Cutias,https://pleiades.stoa.org/places/383630,,https://tp-online.ku.de/trefferanzeige_en.php?id=63
TP-Online: Laumellum,https://pleiades.stoa.org/places/383690,,https://tp-online.ku.de/trefferanzeige_en.php?id=64
TP-Online: Ticeno,https://pleiades.stoa.org/places/383798,,https://tp-online.ku.de/trefferanzeige_en.php?id=65
TP-Online: Lambrum,https://pleiades.stoa.org/places/383685,,https://tp-online.ku.de/trefferanzeige_en.php?id=66
TP-Online: Aquartille,https://pleiades.stoa.org/places/311079,,https://tp-online.ku.de/trefferanzeige_en.php?id=67
TP-Online: Quadrata,https://pleiades.stoa.org/places/387333,,https://tp-online.ku.de/trefferanzeige_en.php?id=68
TP-Online: Ad Padum,https://pleiades.stoa.org/places/383552,,https://tp-online.ku.de/trefferanzeige_en.php?id=69
TP-Online: Florentia,https://pleiades.stoa.org/places/383649,,https://tp-online.ku.de/trefferanzeige_en.php?id=70
TP-Online: Fidentia,https://pleiades.stoa.org/places/383648,,https://tp-online.ku.de/trefferanzeige_en.php?id=71
TP-Online: Parna (Parma),https://pleiades.stoa.org/places/383737,,https://tp-online.ku.de/trefferanzeige_en.php?id=72
TP-Online: Tannetum,https://pleiades.stoa.org/places/383791,,https://tp-online.ku.de/trefferanzeige_en.php?id=73
TP-Online: Lepidoregio,https://pleiades.stoa.org/places/383755,,https://tp-online.ku.de/trefferanzeige_en.php?id=74
TP-Online: Mvtina (Mutina),https://pleiades.stoa.org/places/383715,,https://tp-online.ku.de/trefferanzeige_en.php?id=75
TP-Online: Foro Gallorvm (Foro Gallorum),https://pleiades.stoa.org/places/393425,,https://tp-online.ku.de/trefferanzeige_en.php?id=76
TP-Online: Bononia,https://pleiades.stoa.org/places/393421,,https://tp-online.ku.de/trefferanzeige_en.php?id=77
TP-Online: Iria,https://pleiades.stoa.org/places/383680,,https://tp-online.ku.de/trefferanzeige_en.php?id=78
TP-Online: Comeli magus,https://pleiades.stoa.org/places/383626,,https://tp-online.ku.de/trefferanzeige_en.php?id=79
TP-Online: Ricina,https://pleiades.stoa.org/places/383758,,https://tp-online.ku.de/trefferanzeige_en.php?id=80
TP-Online: Ad Solaria,https://pleiades.stoa.org/places/383555,,https://tp-online.ku.de/trefferanzeige_en.php?id=81
TP-Online: Ad monilia,https://pleiades.stoa.org/places/383550,,https://tp-online.ku.de/trefferanzeige_en.php?id=82
TP-Online: In Alpe Pennino,https://pleiades.stoa.org/places/383675,,https://tp-online.ku.de/trefferanzeige_en.php?id=83
TP-Online: Boron,https://pleiades.stoa.org/places/403188,,https://tp-online.ku.de/trefferanzeige_en.php?id=84
TP-Online: Lvnae (Lunae),https://pleiades.stoa.org/places/403235,,https://tp-online.ku.de/trefferanzeige_en.php?id=85
TP-Online: Foro Clodi,https://pleiades.stoa.org/places/383650,,https://tp-online.ku.de/trefferanzeige_en.php?id=86
TP-Online: Castellum Fabatianum,https://pleiades.stoa.org/places/305048,,https://tp-online.ku.de/trefferanzeige_en.php?id=87
TP-Online: Luca,https://pleiades.stoa.org/places/403234,,https://tp-online.ku.de/trefferanzeige_en.php?id=88
TP-Online: Admartis,https://pleiades.stoa.org/places/409213,,https://tp-online.ku.de/trefferanzeige_en.php?id=89
TP-Online: Pistoris,https://pleiades.stoa.org/places/403254,,https://tp-online.ku.de/trefferanzeige_en.php?id=90
TP-Online: Hellana,https://pleiades.stoa.org/places/403218,,https://tp-online.ku.de/trefferanzeige_en.php?id=91
TP-Online: Ad Solaria,https://pleiades.stoa.org/places/403173,,https://tp-online.ku.de/trefferanzeige_en.php?id=92
TP-Online: Florentia Tuscorvm (Florentia Tuscorum),https://pleiades.stoa.org/places/413138,,https://tp-online.ku.de/trefferanzeige_en.php?id=93
TP-Online: Ad Taberna Frigida,https://pleiades.stoa.org/places/403279,,https://tp-online.ku.de/trefferanzeige_en.php?id=94
TP-Online: Fossis papirianis,https://pleiades.stoa.org/places/403208,,https://tp-online.ku.de/trefferanzeige_en.php?id=95
TP-Online: Pisis,https://pleiades.stoa.org/places/403253,,https://tp-online.ku.de/trefferanzeige_en.php?id=96
TP-Online: Thibili,https://pleiades.stoa.org/places/305165,,https://tp-online.ku.de/trefferanzeige_en.php?id=97
TP-Online: Valuata (Valvata),https://pleiades.stoa.org/places/403289,,https://tp-online.ku.de/trefferanzeige_en.php?id=98
TP-Online: In portu,https://pleiades.stoa.org/places/409227,,https://tp-online.ku.de/trefferanzeige_en.php?id=99
TP-Online: Arnvm Flumen (Arnum Flumen),https://pleiades.stoa.org/places/403181,,https://tp-online.ku.de/trefferanzeige_en.php?id=100
TP-Online: Ad Aquileiam,https://pleiades.stoa.org/places/416763,,https://tp-online.ku.de/trefferanzeige_en.php?id=101
TP-Online: Bituriza,https://pleiades.stoa.org/places/416780,,https://tp-online.ku.de/trefferanzeige_en.php?id=102
TP-Online: Umbro Flumen,https://pleiades.stoa.org/places/413362,,https://tp-online.ku.de/trefferanzeige_en.php?id=103
TP-Online: Adretio,https://pleiades.stoa.org/places/413032,,https://tp-online.ku.de/trefferanzeige_en.php?id=104
TP-Online: Ad Ioglandem,https://pleiades.stoa.org/places/416765,,https://tp-online.ku.de/trefferanzeige_en.php?id=105
TP-Online: Ad nouas (Ad Novas),https://pleiades.stoa.org/places/416770,,https://tp-online.ku.de/trefferanzeige_en.php?id=106
TP-Online: Ad Grecos,https://pleiades.stoa.org/places/416764,,https://tp-online.ku.de/trefferanzeige_en.php?id=107
TP-Online: Rusazu Municipium,https://pleiades.stoa.org/places/305138,,https://tp-online.ku.de/trefferanzeige_en.php?id=108
TP-Online: Capraria,https://pleiades.stoa.org/places/311086,,https://tp-online.ku.de/trefferanzeige_en.php?id=109
TP-Online: Clusio,https://pleiades.stoa.org/places/413096,,https://tp-online.ku.de/trefferanzeige_en.php?id=110
TP-Online: Turrita,https://pleiades.stoa.org/places/409240,,https://tp-online.ku.de/trefferanzeige_en.php?id=111
TP-Online: Piscinas,https://pleiades.stoa.org/places/409234,,https://tp-online.ku.de/trefferanzeige_en.php?id=112
TP-Online: Ad Fines,https://pleiades.stoa.org/places/403172,,https://tp-online.ku.de/trefferanzeige_en.php?id=113
TP-Online: Velinis,https://pleiades.stoa.org/places/403187,,https://tp-online.ku.de/trefferanzeige_en.php?id=114
TP-Online: Vadis Volateris,https://pleiades.stoa.org/places/403288,,https://tp-online.ku.de/trefferanzeige_en.php?id=115
TP-Online: Aquas volaternas (Aquas Volaternas),https://pleiades.stoa.org/places/557118966,,https://tp-online.ku.de/trefferanzeige_en.php?id=116
TP-Online: Populonio,https://pleiades.stoa.org/places/403212,,https://tp-online.ku.de/trefferanzeige_en.php?id=117
TP-Online: Maniliana,https://pleiades.stoa.org/places/409231,,https://tp-online.ku.de/trefferanzeige_en.php?id=118
TP-Online: Aquae Populaniae,https://pleiades.stoa.org/places/409214,,https://tp-online.ku.de/trefferanzeige_en.php?id=119
TP-Online: Ad Sextum,https://pleiades.stoa.org/places/416771,,https://tp-online.ku.de/trefferanzeige_en.php?id=120
TP-Online: Sena Iulia,https://pleiades.stoa.org/places/413293,,https://tp-online.ku.de/trefferanzeige_en.php?id=121
TP-Online: Umbro Flumen,https://pleiades.stoa.org/places/413362,,https://tp-online.ku.de/trefferanzeige_en.php?id=122
TP-Online: Ad Mensulas,https://pleiades.stoa.org/places/416768,,https://tp-online.ku.de/trefferanzeige_en.php?id=123
TP-Online: Manliana,https://pleiades.stoa.org/places/413189,,https://tp-online.ku.de/trefferanzeige_en.php?id=124
TP-Online: Saleborna,https://pleiades.stoa.org/places/403269,,https://tp-online.ku.de/trefferanzeige_en.php?id=125
TP-Online: Vmbro flumen (Umbro Flumen),https://pleiades.stoa.org/places/403285,,https://tp-online.ku.de/trefferanzeige_en.php?id=126
TP-Online: Hasta,https://pleiades.stoa.org/places/409224,,https://tp-online.ku.de/trefferanzeige_en.php?id=127
TP-Online: Telamone,https://pleiades.stoa.org/places/403280,,https://tp-online.ku.de/trefferanzeige_en.php?id=128
TP-Online: Albinia Flumen,https://pleiades.stoa.org/places/413006,,https://tp-online.ku.de/trefferanzeige_en.php?id=129
TP-Online: Tipasa,https://pleiades.stoa.org/places/305169,,https://tp-online.ku.de/trefferanzeige_en.php?id=130
TP-Online: Cosa,https://pleiades.stoa.org/places/413107,,https://tp-online.ku.de/trefferanzeige_en.php?id=131
TP-Online: Succosa,https://pleiades.stoa.org/places/413325,,https://tp-online.ku.de/trefferanzeige_en.php?id=132
TP-Online: Portus Herculis,https://pleiades.stoa.org/places/403260,,https://tp-online.ku.de/trefferanzeige_en.php?id=133
TP-Online: Opitergio,https://pleiades.stoa.org/places/393459,,https://tp-online.ku.de/trefferanzeige_en.php?id=134
TP-Online: Concordia,https://pleiades.stoa.org/places/393441,,https://tp-online.ku.de/trefferanzeige_en.php?id=135
TP-Online: Aqvileia (Aquileia),https://pleiades.stoa.org/places/187290,,https://tp-online.ku.de/trefferanzeige_en.php?id=136
TP-Online: Patauis (Patavis),https://pleiades.stoa.org/places/393473,,https://tp-online.ku.de/trefferanzeige_en.php?id=137
TP-Online: Altino,https://pleiades.stoa.org/places/393374,,https://tp-online.ku.de/trefferanzeige_en.php?id=138
TP-Online: Ad Portum,https://pleiades.stoa.org/places/393366,,https://tp-online.ku.de/trefferanzeige_en.php?id=139
TP-Online: Maio meduaco,https://pleiades.stoa.org/places/393359,,https://tp-online.ku.de/trefferanzeige_en.php?id=140
TP-Online: Vico Iuliani,https://pleiades.stoa.org/places/311160,,https://tp-online.ku.de/trefferanzeige_en.php?id=141
TP-Online: Mino meduaco,https://pleiades.stoa.org/places/393451,,https://tp-online.ku.de/trefferanzeige_en.php?id=142
TP-Online: Evrone (Eurone),https://pleiades.stoa.org/places/393476,,https://tp-online.ku.de/trefferanzeige_en.php?id=143
TP-Online: Fossis,https://pleiades.stoa.org/places/393429,,https://tp-online.ku.de/trefferanzeige_en.php?id=144
TP-Online: VII Maria,https://pleiades.stoa.org/places/393493,,https://tp-online.ku.de/trefferanzeige_en.php?id=145
TP-Online: Radriani,https://pleiades.stoa.org/places/393434,,https://tp-online.ku.de/trefferanzeige_en.php?id=146
TP-Online: Corniculani,https://pleiades.stoa.org/places/393409,,https://tp-online.ku.de/trefferanzeige_en.php?id=147
TP-Online: Neronia,https://pleiades.stoa.org/places/393457,,https://tp-online.ku.de/trefferanzeige_en.php?id=148
TP-Online: Sacis Ad Padum,https://pleiades.stoa.org/places/393488,,https://tp-online.ku.de/trefferanzeige_en.php?id=149
TP-Online: Augusta,https://pleiades.stoa.org/places/393386,,https://tp-online.ku.de/trefferanzeige_en.php?id=150
TP-Online: Butrio,https://pleiades.stoa.org/places/393394,,https://tp-online.ku.de/trefferanzeige_en.php?id=151
TP-Online: Ad molas,https://pleiades.stoa.org/places/314852,,https://tp-online.ku.de/trefferanzeige_en.php?id=152
TP-Online: Ravenna,https://pleiades.stoa.org/places/393480,,https://tp-online.ku.de/trefferanzeige_en.php?id=153
TP-Online: Sabis,https://pleiades.stoa.org/places/393487,,https://tp-online.ku.de/trefferanzeige_en.php?id=154
TP-Online: Ad nouas (Ad Novas),https://pleiades.stoa.org/places/393364,,https://tp-online.ku.de/trefferanzeige_en.php?id=155
TP-Online: Rubico Flumen,https://pleiades.stoa.org/places/393368,,https://tp-online.ku.de/trefferanzeige_en.php?id=156
TP-Online: Arimino,https://pleiades.stoa.org/places/393379,,https://tp-online.ku.de/trefferanzeige_en.php?id=157
TP-Online: Pisauro,https://pleiades.stoa.org/places/413256,,https://tp-online.ku.de/trefferanzeige_en.php?id=158
TP-Online: Fano Furtunae,https://pleiades.stoa.org/places/413129,,https://tp-online.ku.de/trefferanzeige_en.php?id=159
